IPA,syllabic,stress,long,consonantal,sonorant,continuant,delayedrelease,approximant,tap,trill,nasal,voice,spreadglottis,constrictedglottis,labial,round,labiodental,coronal,anterior,distributed,strident,lateral,dorsal,high,low,front,back,tense
ɣ̟,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
x̟,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
k̟,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ɡ̟,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
k̟͡x̟,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ɡ̟͡ɣ̟,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ħ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ʕ,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ʁ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
q,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
χ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɢ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɕ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ɟ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ʝ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
c,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ç,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
d͡ʑ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
t͡ɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ɣ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɣ̠,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
x,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
x̠,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
k,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
k̠,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ɡ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡ̠,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ʑ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ʈ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɖ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɬ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ʐ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ɸ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
ʂ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ʒ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
z,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
v,-,-,-,+,-,+,+,-,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
t,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ʃ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
s,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
p,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
f,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
d,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
b,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
θ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
ɮ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ð,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
β,-,-,-,+,-,+,+,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
d͡ʒ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
d͡z,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
d͡ɮ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
d̠͡ɮ̠,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,0,0,0,0,0
t͡ʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
t̠͡ɬ̠,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,0,0,0,0,0
t͡s,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
t͡ɬ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
t̪͡s̪,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,0,0,0,0,0
t̪͡ɬ̪,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,0,0,0,0,0
d̪͡z̪,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,0,0,0,0,0
d̪͡ɮ̪,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,0,0,0,0,0
ʈ͡ʂ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ɖ͡ʐ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
p͡f,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
b͡v,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
p͡ɸ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
b͡β,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
t̪͡θ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
d̪͡ð,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
c͡ç,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ɟ͡ʝ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
k͡x,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
k̠͡x̠,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ɡ͡ɣ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡ̠͡ɣ̠,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
q͡χ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɢ͡ʁ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɧ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,0,0,0
k͡p,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡ͡b,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,+,+,-,0,0,0
p͡t,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,0,0,0,0,0
b͡d,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,0,0,0,0,0
ɰ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,+
ɰ̠,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,+
w,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ɥ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,+
j,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
ɹ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,0,0,0,0,0
ʋ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
ʍ,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ɦ,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0
h,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0
